"Timestamp","Gender","Age( in years)","District","What is the highest level of education completed by you?","Occupation","Average monthly income (in Sri Lankan Rupees)","How did you get to know about the Banking Mobile App?","How long have you used the Banking Mobile App?","How often do you make a transaction?","What type of transactions do you currently make using the banking mobile app?","Which factor motivated you to use the banking mobile app?","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I think using banking mobile app is comfortable.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I am happy with the user interface of the  banking mobile app.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I think using the  banking mobile app is secure.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I am satisfied with the level of data and information security level offered by the bank.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [When considering the overall service, I am satisfied with using the banking mobile app.]","Would you recommend using Banking Mobile App for you friend?"
"2020/11/21 3:26:44 PM GMT+5:30","Female","19 to 30","Kurunegala","Post Graduate","Government Employee","Between 30001 to 60000","Friends or Family","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Yes"
"2020/11/21 6:55:20 PM GMT+5:30","Female","19 to 30","Puttalam","Post Graduate","Government Employee","Between 30001 to 60000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat agree","Yes"
"2020/11/21 6:56:51 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 30001 to 60000","Bank directly","Less than 1 year","Monthly-once","Money transfer;Bill payment","Ease of use;Reduced time of transaction;Safe service","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/21 6:58:15 PM GMT+5:30","Female","31 to 40","Puttalam","Graduate","Government Employee","Between 30001 to 60000","Friends or Family","Between 1 to 3 years","Monthly-several times","Money transfer;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Yes"
"2020/11/21 6:59:17 PM GMT+5:30","Female","31 to 40","Kurunegala","Graduate","Private Sector Employee","Between 90001 to 120000","Friends or Family","Between 1 to 3 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Yes"
"2020/11/21 7:00:08 PM GMT+5:30","Male","31 to 40","Kurunegala","Post Graduate","Private Sector Employee","Between 120001 to 150000","Bank directly","Between 1 to 3 years","Weekly-several times","Money transfer;Savings;Purchasing","Ease of use;Cost effectiveness;Safe service","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Yes"
"2020/11/21 7:29:32 PM GMT+5:30","Male","19 to 30","Kurunegala","Post Graduate","Private Sector Employee","Between 120001 to 150000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing;Opening Fixed Deposits","Reduced time of transaction","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/21 7:49:41 PM GMT+5:30","Female","19 to 30","Rathnapura","Graduate","Government Employee","Between 30001 to 60000","By a commercial advertisement.","Between 3 to 5 years","Daily –Several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility;Save time","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Yes"
"2020/11/21 7:55:30 PM GMT+5:30","Male","41 to 50","Colombo","Post Graduate","Private Sector Employee","Above 150000","Bank directly","More than 5 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings","Ease of use;Cost effectiveness;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/21 7:55:35 PM GMT+5:30","Male","19 to 30","Galle","Graduate","Private Sector Employee","Above 150000","By a commercial advertisement.","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/21 8:04:06 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 30001 to 60000","Friends or Family","Less than 1 year","Occasionally (less than once a month)","Money transfer;Bill payment","Ease of use;Cost effectiveness;Reduced time of transaction;Safe service;Providing anytime anywhere bill payment or money transferring facility","Neither agree Nor disagree","Neither agree Nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Yes"
"2020/11/21 8:05:37 PM GMT+5:30","Female","19 to 30","Gampaha","Post Graduate","Private Sector Employee","Above 150000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Somewhat agree","Yes"
"2020/11/21 8:11:20 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Above 150000","Friends or Family","More than 5 years","Monthly-several times","Balance inquiry / Bank statement;Bill payment","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/21 8:11:39 PM GMT+5:30","Female","19 to 30","Gampaha","Graduate","Private Sector Employee","Between 120001 to 150000","By a commercial advertisement.","Between 3 to 5 years","Weekly-several times","Money transfer;Bill payment;Savings;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Yes"
"2020/11/21 8:28:29 PM GMT+5:30","Female","19 to 30","Gampaha","Graduate","Private Sector Employee","Between 30001 to 60000","Friends or Family","Between 1 to 3 years","Monthly-once","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree Nor disagree","Strongly agree","Yes"
"2020/11/21 8:42:37 PM GMT+5:30","Male","31 to 40","Colombo","Post Graduate","Private Sector Employee","Above 150000","Bank directly","More than 5 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings","Ease of use;Reduced time of transaction;Safe service","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree Nor disagree","Yes"
"2020/11/21 8:59:12 PM GMT+5:30","Female","19 to 30","Gampaha","Post Graduate","Private Sector Employee","Between 120001 to 150000","By a commercial advertisement.","Less than 1 year","Monthly-several times","Money transfer;Bill payment","Ease of use;Cost effectiveness;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Neither agree Nor disagree","Neither agree Nor disagree","Somewhat agree","Yes"
